No.,nameen,ROCKTYPEid,slope-deg,IDW-5d,ls-value,latitude,longitude,STN0203,STN0311,STN0421,ls_prob
5235525,Grass,1,9.79425716,16.083128272926245,0,18.8650677816891,99.3546881115226,233.6073855,7980.7963,9065.610156,0.0
5235526,Grass,1,8.54942226,16.065700174747587,0,18.865067578143,99.354794912143,244.011507,7981.36008,9068.460688,0.0
5235527,Grass,1,12.96458817,16.05794391597555,0,18.8650674876584,99.354842379085,248.6593297,7981.61573,9069.731787,0.0
5235528,Tree,1,12.96458817,16.048242611751782,0,18.8650673745356,99.354901712762,254.4879897,7981.939689,9071.324287,0.0
5235529,Tree,1,22.4068718,16.040478373336565,0,18.8650672840237,99.3549491797034,259.1651398,7982.202372,9072.601189,0.0
5235530,Tree,1,22.4068718,16.030771049162766,0,18.8650671708668,99.3550085133797,265.0282571,7982.535122,9074.200941,0.0
5235531,Tree,1,28.51625633,16.02300491460092,0,18.8650670803278,99.3550559803204,269.7313404,7982.804838,9075.48364,0.0
5235532,Tree,1,28.51625633,16.014948474069204,0,18.8650669863807,99.3551052272712,274.6219515,7983.087971,9076.817163,0.0
5235533,Tree,1,28.51625633,16.005535699586847,0,18.8650668765705,99.3551627809361,280.3511032,7983.423124,9078.379128,0.0
5235534,Tree,1,32.29211044,15.997775728175958,0,18.8650667859921,99.3552102478759,285.0866262,7983.702994,9079.670193,0.0
5235535,Tree,1,32.29211044,15.988081066251866,0,18.8650666727521,99.3552695815504,291.0185646,7984.057226,9081.28764,0.0
5235536,Tree,1,34.31908417,15.980330487455792,0,18.8650665821464,99.3553170484896,295.7736202,7984.344124,9082.584489,0.0
5235537,Road,1,32.66997147,15.962217924571329,0,18.8650586024315,99.3554252373887,306.8990938,7985.86872,9084.719722,0.0
5235538,Tree,1,32.66997147,15.965696703795624,0,18.8650979399272,99.3554182141012,304.9066468,7981.479302,9088.726924,0.0
5235539,Road,1,34.31908417,15.96495241164605,0,18.8650377224916,99.3554005358082,305.1281752,7988.028039,9081.806171,0.0
5235540,Tree,1,34.31908417,15.971400134854688,0,18.8650702627986,99.3553731943821,301.2812519,7984.268902,9084.526398,0.0
5235541,Tree,1,30.54420662,15.945527755584047,0,18.8650661742711,99.3555306497129,317.2653318,7985.673813,9088.452088,0.0
5235542,Road,1,32.66997147,15.957946054460391,0,18.865077460541,99.3554583772093,309.6148946,7983.984873,9087.651524,0.0
5235543,Tree,1,32.66997147,15.95029896983736,0,18.8650592258454,99.355498778928,314.2768318,7986.245955,9086.824847,0.0
5235544,Tree,1,30.54420662,15.937524762666476,0,18.8650660801984,99.3555798966608,322.2400629,7985.989348,9089.812264,0.0
5235545,Tree,1,29.24882698,15.92048898677596,0,18.865065879542,99.3556849172596,332.8707304,7986.673457,9092.722095,0.0
5235546,Tree,1,30.54420662,15.92818337012791,0,18.8650659702415,99.3556374503225,328.0623371,7986.362363,9091.405364,0.0
5235547,Tree,1,26.10956764,15.90321140225786,0,18.865065675424,99.3557917178672,343.7098112,7987.384826,9095.694099,0.0
5235548,Tree,1,29.24882698,15.910884204979157,0,18.8650657661507,99.3557442509307,338.8891,7987.066712,9094.371609,0.0
5235549,Tree,1,22.87490273,15.885985334576116,0,18.8650654712446,99.3558985184734,354.5747654,7988.111988,9098.679053,0.0
5235550,Tree,1,26.10956764,15.893634759171483,0,18.8650655619986,99.3558510515375,349.7428568,7987.786856,9097.350809,0.0
5235551,Tree,1,18.25505829,15.8688144282181,0,18.865065267004,99.3560053190783,365.4632853,7988.854938,9101.676945,0.0
5235552,Tree,1,22.87490273,15.876438919768647,0,18.8650653577852,99.355957852143,360.6211703,7988.522789,9100.342952,0.0
5235553,Tree,1,18.25505829,15.860916202448571,0,18.8650651728057,99.3560545660234,370.4914673,7989.202838,9103.06366,0.0
5235554,Tree,1,14.06855583,15.844115686845308,0,18.8650649718816,99.3561595866162,381.2286572,7989.955953,9106.030046,0.0
5235555,Tree,1,18.25505829,15.851701836586008,0,18.8650650627021,99.3561121196818,376.3733257,7989.613673,9104.68776,0.0
5235556,Tree,1,14.06855583,15.834650290527804,0,18.8650648583389,99.3562189202839,387.3030679,7990.388186,9107.711487,0.0
5235557,Tree,1,14.36605644,15.827092050990991,0,18.8650647674911,99.3562663872177,392.1666244,7990.737478,9109.059507,0.0
5235558,Tree,1,14.36605644,15.817662154614652,0,18.8650646539144,99.3563257208846,398.2508898,7991.178475,9110.748113,0.0
5235559,Tree,1,16.61135101,15.81013277164953,0,18.8650645630394,99.3563731878178,403.1220066,7991.534776,9112.101861,0.0
5237408,Tree,1,23.59602356,15.711478747828426,0,18.8650242824249,99.3484104916715,456.8131175,7981.660928,8915.410176,0.0
5237412,Tree,1,23.59602356,15.719458467176583,0,18.8650241902363,99.348459738645,451.7437076,7981.488807,8916.36008,0.0
5237413,Tree,1,24.85590172,15.717332304207495,0,18.8649790019904,99.3484596453012,452.8458249,7986.488028,8911.44298,0.0
5237414,Tree,1,23.59602356,15.728798851982429,0,18.8650240824812,99.3485172923366,445.822718,7981.291925,8917.473906,0.0
5237415,Tree,1,24.85590172,15.726650681366287,0,18.8649788942356,99.3485171989773,446.9394363,7986.291269,8912.557421,0.0
5237416,Tree,1,25.09846306,15.736514032072694,0,18.8650239935976,99.3485647592984,440.9423697,7981.133012,8918.395525,0.0
5237417,Tree,1,25.94852829,15.734347173159623,0,18.8649788053523,99.3485646659264,442.0714164,7986.132456,8913.479548,0.0
5237418,Tree,1,25.09846306,15.746172763482342,0,18.8650238824762,99.3486240930002,434.8458194,7980.938775,8919.551359,0.0
5237419,Tree,1,25.94852829,15.743981835221192,0,18.8649786942311,99.3486239996124,435.9906541,7985.93834,8914.63602,0.0
5237420,Tree,1,28.42645073,15.753911388813115,0,18.8650237935654,99.3486715599615,429.971802,7980.786909,8920.479074,0.0
5237421,Tree,1,28.81479263,15.75170061791468,0,18.8649786053206,99.3486714665609,431.1295795,7985.786569,8915.564246,0.0
5237422,Tree,1,28.42645073,15.763598984821297,0,18.8650236824099,99.3487308936626,423.8834707,7980.601481,8921.642525,0.0
5237423,Tree,1,28.81479263,15.7613626486197,0,18.8649784941654,99.3487308002462,425.057832,7985.601257,8916.728338,0.0
5237424,Tree,1,32.75207901,15.771360325931534,0,18.8650235934719,99.3487783606232,419.0162848,7980.456662,8922.576331,0.0
